filepath,weather,terrain
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-10,-5,-5.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-100,-5,-95.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-105,-5,-100.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-110,-5,-105.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-115,-5,-110.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-120,-5,-115.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-125,-5,-120.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-130,-5,-125.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-135,-5,-130.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-140,-5,-135.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-145,-5,-140.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-15,-5,-10.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-150,-5,-145.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-155,-5,-150.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-160,-5,-155.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-165,-5,-160.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-170,-5,-165.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-175,-5,-170.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-180,-5,-175.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-20,-5,-15.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-25,-5,-20.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-30,-5,-25.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-35,-5,-30.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-40,-5,-35.png",clear,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-45,-5,-40.png",clear,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-5,-5,0.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-50,-5,-45.png",clear,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-55,-5,-50.png",clear,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-60,-5,-55.png",clear,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-65,-5,-60.png",cloudy,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-70,-5,-65.png",cloudy,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-75,-5,-70.png",clear,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-80,-5,-75.png",cloudy,land
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-85,-5,-80.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-90,-5,-85.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,-95,-5,-90.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,0,-5,5.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,10,-5,15.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,100,-5,105.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,105,-5,110.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,110,-5,115.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,115,-5,120.png",cloudy,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,120,-5,125.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,125,-5,130.png",clear,water
"images/VIIRS_SNPP_CorrectedReflectance_TrueColor/2022-05-01/VIIRS_SNPP_CorrectedReflectance_TrueColor_2022-05-01_-10,130,-5,135.png",cloudy,water
